Geography,Name,Median Household Income,Poverty Rate (%),Unemployment Rate (%),Bachelor's Degree or Higher (%)
8600000US00917,ZCTA5 00917,15458,51.8,9.3,22.3
8600000US00918,ZCTA5 00918,24712,40.5,6.8,48.3
8600000US00920,ZCTA5 00920,26157,31.7,7.7,31.8
8600000US00921,ZCTA5 00921,19263,45.9,8.3,26.7
8600000US00923,ZCTA5 00923,15633,54.0,11.2,20.7
8600000US00924,ZCTA5 00924,19142,47.3,10.3,24.8
8600000US00925,ZCTA5 00925,11794,59.8,11.0,25.0
8600000US00926,ZCTA5 00926,35140,27.6,5.2,43.6
8600000US00927,ZCTA5 00927,33758,23.8,4.3,59.4
8600000US00934,ZCTA5 00934,83264,0.0,0.0,69.2
8600000US00936,ZCTA5 00936,-,-,0.0,8.0
8600000US00949,ZCTA5 00949,24961,36.8,9.6,22.3
8600000US00950,ZCTA5 00950,-,-,-,-
8600000US00951,ZCTA5 00951,-,100.0,0.0,0.0
8600000US00952,ZCTA5 00952,18499,40.7,10.4,12.5
8600000US00953,ZCTA5 00953,29406,32.7,8.5,28.6
8600000US00956,ZCTA5 00956,23125,38.0,10.6,21.8
8600000US00957,ZCTA5 00957,23643,38.4,8.6,24.6
8600000US00959,ZCTA5 00959,26754,31.3,7.4,31.8
8600000US00960,ZCTA5 00960,-,54.2,0.0,2.2
8600000US00961,ZCTA5 00961,29169,30.4,6.4,33.4
8600000US00962,ZCTA5 00962,16289,55.6,17.2,15.9
8600000US00965,ZCTA5 00965,16135,53.4,14.6,8.9
8600000US00966,ZCTA5 00966,53052,18.5,5.5,64.5
8600000US00968,ZCTA5 00968,42036,9.1,3.8,68.5
8600000US00969,ZCTA5 00969,51285,17.4,4.8,58.3
8600000US00971,ZCTA5 00971,23338,38.5,11.1,24.6
8600000US00976,ZCTA5 00976,29736,31.6,4.6,33.9
8600000US00979,ZCTA5 00979,38187,20.5,4.4,46.1
8600000US00982,ZCTA5 00982,26370,32.3,7.5,25.3
8600000US00983,ZCTA5 00983,27834,30.2,8.1,24.6
8600000US00985,ZCTA5 00985,24514,32.5,9.2,22.3
8600000US00987,ZCTA5 00987,31599,28.8,7.9,31.4
8600000US01001,ZCTA5 01001,60775,8.4,5.2,27.6
8600000US01002,ZCTA5 01002,55082,31.9,4.6,69.8
8600000US01003,ZCTA5 01003,-,1.3,8.1,24.4
8600000US01005,ZCTA5 01005,68361,4.4,7.0,21.1
8600000US01007,ZCTA5 01007,74221,7.8,4.7,38.8
8600000US01008,ZCTA5 01008,71979,5.4,5.0,27.7
8600000US01009,ZCTA5 01009,40929,17.4,18.4,11.7
8600000US01010,ZCTA5 01010,82365,3.0,4.9,41.9
8600000US01011,ZCTA5 01011,65324,8.9,5.5,14.4
8600000US01012,ZCTA5 01012,56146,9.8,6.1,41.4
8600000US01013,ZCTA5 01013,41342,15.6,7.2,15.6
8600000US01020,ZCTA5 01020,52236,10.4,5.8,17.8
